permission_slug,super_admin,admin,finance_admin,country_manager,product_manager,inventory_manager,warehouse_manager,warehouse_staff,marketing_manager,marketer_manager,sales_manager,sales_agent,customer_support_agent,ai_supervisor,content_seo_editor,media_manager,b2b_sales_agent,maintenance_service_agent,shipping_coordinator,read_only_auditor,developer_api_admin,external_marketer,infra_lead,dba
messaging.template.write,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
messaging.broadcast.send,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
messaging.consent.manage,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
marketer.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,own,N,N
marketer.write,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
marketer.terminate,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
marketer.payout.approve,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coupon.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N
coupon.write,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
coupon.activate,Y,N,Y,scoped,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
landing_page.read,Y,Y,N,scoped,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,read,N,N,N,N
landing_page.create,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
landing_page.update,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
landing_page.publish,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
landing_page.archive,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
landing_page.ab_test,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
landing_page.override_quality_gate,Y,N,N,N,N,N,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
campaign.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
campaign.write,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
campaign.activate,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
b2b.read,Y,Y,Y,scoped,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N
b2b.write,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N
b2b.quote.approve,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
ops.read,Y,Y,Y,scoped,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N
ops.write,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
maintenance.ticket.read,Y,Y,N,scoped,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N
maintenance.ticket.write,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
warranty.replacement.approve,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
report.read,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,own,Y,Y
report.profit,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
report.sales,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N
report.marketer,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,own,N,N
report.ai,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
report.export,Y,Y,Y,scoped,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N
report.export.cost_columns,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
report.cross_country.read,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
export.cross_country,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
system.users,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
system.roles,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
system.audit.read,Y,Y,Y,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y
system.api_keys,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
system.webhooks,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
system.settings,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
import.run.products,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.country_pricing,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.warehouse_stock,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.actual_costs,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.marketer_costs,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.coupons,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.marketers,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
import.run.landing_pages,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
import.run.translations,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
import.run.customers,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
export.cost_columns,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
backup.read,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y
backup.create,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
backup.schedule,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
restore.staging,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
restore.production,Y,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,dual_approval
override.request,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y
override.approve.profit_guardrail,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.price_below_min,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.campaign_loss,Y,N,N,N,N,N,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.stock_override,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.warranty_exception,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
override.approve.payout_exception,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.country_activation,Y,N,N,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.payment_refund_exception,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.performance_budget,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
override.approve.landing_quality_gate,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.landing_profit_guardrail,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.landing_inventory_guardrail,Y,N,N,N,N,N,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.approve.sensitive_cleanup,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
override.policy.write,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
mobile_admin.access,Y,N,partial,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
performance.read,Y,Y,N,N,N,N,N,N,view_alerts,N,N,N,N,N,view_alerts,N,N,N,N,view_alerts,N,N,Y,partial
performance.manage_cache,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
performance.manage_feature_flags,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
performance.view_alerts,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y
performance.resolve_alerts,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
data_maintenance.read,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y
data_maintenance.preview,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
data_maintenance.run_safe,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
data_maintenance.run_sensitive,Y,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,dual_approval
data_maintenance.approve,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
data_maintenance.schedule,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
data_maintenance.restore_related,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
alerts.read,Y,Y,scoped,scoped,N,N,N,N,scoped,N,N,N,N,N,scoped,N,N,N,N,read,N,N,Y,Y
alerts.acknowledge,Y,Y,scoped,scoped,N,N,N,N,scoped,N,N,N,N,N,scoped,N,N,N,N,N,N,N,Y,Y
alerts.resolve,Y,Y,scoped,scoped,N,N,N,N,scoped,N,N,N,N,N,scoped,N,N,N,N,N,N,N,Y,Y
alerts.configure,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
alerts.escalate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
db_health.read,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,read,N,N,Y,Y
db_health.manage_indexes_recommendations,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y
db_health.view_slow_queries,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,read,N,N,Y,Y
db_health.run_maintenance_safe,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
decision.read,Y,Y,N,scoped,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,read,N,N,N,N
decision.rule.write,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
decision.override,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
safety.read,Y,Y,Y,scoped,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N
safety.claim.write,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
safety.claim.approve,Y,N,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
safety.claim.revoke,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
safety.incident.read,Y,Y,N,scoped,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N
safety.incident.write,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
safety.incident.escalate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
compliance.profile.write,Y,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
certificate.read,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N
certificate.upload,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
certificate.approve,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
certificate.revoke,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
review.read,Y,Y,N,scoped,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,read,N,N,N,N
review.approve,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N
review.reject,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N
review.flag,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
trust_asset.read,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N
trust_asset.write,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
warranty.register.read,Y,Y,N,scoped,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N
warranty.register.write,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
batch_quality.read,Y,Y,N,scoped,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N
batch_quality.recall_flag,Y,N,N,N,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
readiness.read,Y,Y,Y,scoped,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y
readiness.run_check,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
readiness.acknowledge,Y,Y,Y,scoped,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y
readiness.override_block,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,dual_approval,N
cost_read_log.read,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
country_scope.all,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N
country_access.read,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
country_access.write,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
country_access.audit.read,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
shipping_provider.read,Y,Y,read,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
shipping_provider.create,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_provider.update,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_provider.deactivate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_provider.archive,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_provider.reactivate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_method.read,Y,Y,read,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
shipping_method.create,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_method.update,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_method.deactivate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_rate.read,Y,Y,Y,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
shipping_rate.create,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_rate.update,Y,N,dual_approval,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_rate.deactivate,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
shipping_rule.read,Y,Y,read,scoped,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N
shipping_rule.update,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
